"filename", "language", "TypeScript React", "TypeScript", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Bunny.tsx", "TypeScript React", -187, 0, -73, -25, -285
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\BunnyGeneration.tsx", "TypeScript React", -46, 0, 0, -4, -50
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Container.tsx", "TypeScript React", -199, 0, 0, -14, -213
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Home.tsx", "TypeScript React", -82, 0, 0, -11, -93
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Inventory.tsx", "TypeScript React", -45, 0, -21, -7, -73
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Menu.tsx", "TypeScript React", -50, 0, 0, -5, -55
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\bunnyInterface.ts", "TypeScript", 0, -83, 0, -6, -89
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\equipmentItemInterface.ts", "TypeScript", 0, -9, 0, 0, -9
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\_app.tsx", "TypeScript React", 6, 0, 0, 3, 9
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\api\hello.ts", "TypeScript", 0, 10, 1, 3, 14
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\index.tsx", "TypeScript React", 22, 0, 12, 6, 40
"Total", "-", -581, -82, -81, -60, -804
