"filename", "language", "TypeScript", "TypeScript React", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Bunny.tsx", "TypeScript React", 0, 187, 73, 25, 285
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\BunnyGeneration.tsx", "TypeScript React", 0, 46, 0, 4, 50
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Container.tsx", "TypeScript React", 0, 199, 0, 14, 213
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Home.tsx", "TypeScript React", 0, 82, 0, 11, 93
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Inventory.tsx", "TypeScript React", 0, 45, 21, 7, 73
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Menu.tsx", "TypeScript React", 0, 50, 0, 5, 55
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\bunnyInterface.ts", "TypeScript", 83, 0, 0, 6, 89
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\equipmentItemInterface.ts", "TypeScript", 9, 0, 0, 0, 9
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\_app.tsx", "TypeScript React", 0, -6, 0, -3, -9
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\api\hello.ts", "TypeScript", -10, 0, -1, -3, -14
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\pages\index.tsx", "TypeScript React", 0, -22, -12, -6, -40
"Total", "-", 82, 581, 81, 60, 804
