"filename", "language", "TypeScript React", "TypeScript", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Bunny.tsx", "TypeScript React", 178, 0, 85, 25, 288
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\BunnyGeneration.tsx", "TypeScript React", 46, 0, 0, 4, 50
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Container.tsx", "TypeScript React", 59, 0, 143, 11, 213
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Home.tsx", "TypeScript React", 82, 0, 0, 11, 93
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Inventory.tsx", "TypeScript React", 53, 0, 21, 6, 80
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\InventoryCards.tsx", "TypeScript React", 352, 0, 0, 14, 366
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Menu.tsx", "TypeScript React", 50, 0, 0, 5, 55
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\bunnyInterface.ts", "TypeScript", 0, 83, 0, 6, 89
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\equipmentItemInterface.ts", "TypeScript", 0, 12, 0, 0, 12
"Total", "-", 820, 95, 249, 82, 1246
